function,solver,algorithm,dimension,seed,x,obj_val,time_elapsed,timeout_reached
Ackley,gurobi,gurobi,10,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.1442580120757384e-05,0.008641958236694336,False
Ackley,gurobi,gurobi,10,0,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.013975143432617188,False
Ackley,gurobi,gurobi,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.1442580120757384e-05,0.00819087028503418,False
Ackley,gurobi,gurobi,10,1,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.017745018005371094,False
Ackley,gurobi,gurobi,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.1442580120757384e-05,0.020753860473632812,False
Ackley,gurobi,gurobi,10,2,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.0670468807220459,False
Ackley,gurobi,gurobi,10,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.1442580120757384e-05,0.020745038986206055,False
Ackley,gurobi,gurobi,10,3,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.03932905197143555,False
Ackley,gurobi,gurobi,10,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.1442580120757384e-05,0.020068883895874023,False
Ackley,gurobi,gurobi,10,4,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.07141709327697754,False
