function,dimension,algorithm,best_y,total_time,total_sample,first_reach_sample,timeout_reached
ackley,10,basinhopping,19.079864501953125,1.6120641231536865,11517,5159,False
ackley,10,basinhopping,19.80489730834961,1.954477310180664,11363,5929,False
ackley,10,basinhopping,19.835838317871094,1.707413911819458,11440,4224,False
ackley,10,basinhopping,20.304733276367188,1.7253096103668213,11407,1243,False
ackley,10,basinhopping,20.540027618408203,1.6020514965057373,11671,8294,False
ackley,10,differential_evolution,9.5367431640625e-07,34.48125648498535,28811,23468,False
ackley,10,differential_evolution,9.5367431640625e-07,28.75437092781067,28661,24270,False
ackley,10,differential_evolution,9.5367431640625e-07,11.6080904006958,31961,26085,False
ackley,10,differential_evolution,9.5367431640625e-07,35.901609659194946,31061,27164,False
ackley,10,differential_evolution,9.5367431640625e-07,38.496362924575806,32111,27478,False
ackley,10,direct,3.867398262023926,0.14368343353271484,839,715,False
ackley,10,direct,3.867398262023926,0.17905831336975098,839,715,False
ackley,10,direct,3.867398262023926,0.18778133392333984,839,715,False
ackley,10,direct,3.867398262023926,0.2594897747039795,839,715,False
ackley,10,direct,3.867398262023926,0.2607443332672119,839,715,False
ackley,10,dual_annealing,0.00038051605224609375,29.255022764205933,21607,21047,False
ackley,10,dual_annealing,0.00046443939208984375,20.677443265914917,21475,21363,False
ackley,10,dual_annealing,0.0006093978881835938,20.749449253082275,21607,21527,False
ackley,10,dual_annealing,0.0006189346313476562,19.474356412887573,21376,21055,False
ackley,10,dual_annealing,0.0006608963012695312,28.28668975830078,21090,20955,False
ackley,10,gurobi,2.021709219484489,0.010471820831298828,1,0,
ackley,10,gurobi,2.021709219484489,0.010480165481567383,1,0,
ackley,10,gurobi,2.021709219484489,0.010684013366699219,1,0,
ackley,10,gurobi,2.021709219484489,0.010684013366699219,1,0,
ackley,10,gurobi,2.021709219484489,0.01096796989440918,1,0,
ackley,10,shgo,inf,233.77967071533203,0,0,False
ackley,10,shgo,inf,341.7009596824646,0,0,False
ackley,10,shgo,inf,347.16475009918213,0,0,False
ackley,10,shgo,inf,353.31133937835693,0,0,False
ackley,10,shgo,inf,361.2042591571808,0,0,False
ackley,10,simulated_annealing,0.00027561187744140625,3.7195000648498535,20001,19897,False
ackley,10,simulated_annealing,0.00035190582275390625,4.044227361679077,20001,19757,False
ackley,10,simulated_annealing,0.00040912628173828125,3.807905912399292,20001,19813,False
ackley,10,simulated_annealing,0.00047397613525390625,3.4707908630371094,20001,19653,False
ackley,10,simulated_annealing,0.0005197525024414062,3.741575002670288,20001,19818,False
ackley,50,basinhopping,20.49383544921875,5.582276344299316,53856,13260,False
ackley,50,basinhopping,20.798606872558594,5.943726301193237,52887,5559,False
ackley,50,basinhopping,20.842681884765625,5.933349132537842,51969,10914,False
ackley,50,basinhopping,20.96784210205078,6.1895387172698975,53142,21777,False
ackley,50,basinhopping,21.076061248779297,7.029609441757202,53499,12036,False
ackley,50,differential_evolution,19.843658447265625,0.3892390727996826,1551,1301,False
ackley,50,differential_evolution,20.04779815673828,0.848839521408081,1551,1377,False
ackley,50,differential_evolution,20.265567779541016,0.6940093040466309,1551,1030,False
ackley,50,differential_evolution,20.33181381225586,0.5060718059539795,1551,1229,False
ackley,50,differential_evolution,20.439186096191406,0.4860978126525879,1551,921,False
ackley,50,direct,4.552538871765137,0.14069342613220215,299,0,False
ackley,50,direct,4.552538871765137,0.19634079933166504,299,0,False
ackley,50,direct,4.552538871765137,0.2120513916015625,299,0,False
ackley,50,direct,4.552538871765137,0.21619963645935059,299,0,False
ackley,50,direct,4.552538871765137,0.2214200496673584,299,0,False
ackley,50,dual_annealing,0.0009164810180664062,107.39332747459412,123155,123083,False
ackley,50,dual_annealing,0.0009717941284179688,141.5067777633667,122951,122386,False
ackley,50,dual_annealing,0.0011968612670898438,102.70441484451294,125756,125492,False
ackley,50,dual_annealing,0.0012216567993164062,101.41834020614624,127388,124906,False
ackley,50,dual_annealing,0.0012884140014648438,104.17176175117493,122747,122088,False
ackley,50,gurobi,2.021709219484489,0.04667997360229492,1,0,
ackley,50,gurobi,2.021709219484489,0.047985076904296875,1,0,
ackley,50,gurobi,2.021709219484489,0.04806017875671387,1,0,
ackley,50,gurobi,2.021709219484489,0.04812192916870117,1,0,
ackley,50,gurobi,2.021709219484489,0.0484309196472168,1,0,
ackley,50,shgo,inf,600.1824989318848,0,0,True
ackley,50,shgo,inf,600.1827154159546,0,0,True
ackley,50,shgo,inf,600.182822227478,0,0,True
ackley,50,shgo,inf,600.1841676235199,0,0,True
ackley,50,shgo,inf,600.2068774700165,0,0,True
ackley,50,simulated_annealing,0.0009412765502929688,17.715271949768066,100001,99853,False
ackley,50,simulated_annealing,0.0010766983032226562,17.69384479522705,100001,98056,False
ackley,50,simulated_annealing,0.0010843276977539062,17.078349828720093,100001,99763,False
ackley,50,simulated_annealing,0.0012063980102539062,17.713351726531982,100001,99988,False
ackley,50,simulated_annealing,0.0012407302856445312,17.980087995529175,100001,96575,False
ackley,100,basinhopping,20.817394256591797,11.793073177337646,105040,18988,False
ackley,100,basinhopping,20.942832946777344,12.672341108322144,104838,2323,False
ackley,100,basinhopping,20.94854736328125,12.427295207977295,107161,13332,False
ackley,100,basinhopping,21.088397979736328,11.525200128555298,110316,7878,False
ackley,100,basinhopping,21.104328155517578,11.681504249572754,104838,29189,False
ackley,100,differential_evolution,20.576522827148438,1.6533408164978027,5121,3505,False
ackley,100,differential_evolution,20.64194107055664,1.0180995464324951,3101,1777,False
ackley,100,differential_evolution,20.67028045654297,1.5625240802764893,3101,1585,False
ackley,100,differential_evolution,20.689220428466797,0.9718277454376221,3101,2134,False
ackley,100,differential_evolution,20.74972152709961,1.0754594802856445,3101,2640,False
ackley,100,direct,4.552538871765137,0.16614627838134766,599,0,False
ackley,100,direct,4.552538871765137,0.16944169998168945,599,0,False
ackley,100,direct,4.552538871765137,0.18168401718139648,599,0,False
ackley,100,direct,4.552538871765137,0.2287461757659912,599,0,False
ackley,100,direct,4.552538871765137,0.2566089630126953,599,0,False
ackley,100,dual_annealing,0.0018434524536132812,312.0454878807068,271408,271299,False
ackley,100,dual_annealing,0.0020494461059570312,298.32745695114136,265853,265452,False
ackley,100,dual_annealing,0.0021505355834960938,252.75263285636902,267873,267075,False
ackley,100,dual_annealing,0.0022630691528320312,289.08964443206787,260601,258490,False
ackley,100,dual_annealing,0.0022706985473632812,289.0416440963745,267267,266749,False
ackley,100,gurobi,2.021709219484489,0.15311193466186523,1,0,
ackley,100,gurobi,2.021709219484489,0.15452218055725098,1,0,
ackley,100,gurobi,2.021709219484489,0.15636587142944336,1,0,
ackley,100,gurobi,2.021709219484489,0.15746688842773438,1,0,
ackley,100,gurobi,2.021709219484489,0.15866708755493164,1,0,
ackley,100,shgo,inf,600.1797580718994,0,0,True
ackley,100,shgo,inf,600.1846694946289,0,0,True
ackley,100,shgo,inf,600.1851680278778,0,0,True
ackley,100,shgo,inf,600.1879994869232,0,0,True
ackley,100,shgo,inf,600.1932151317596,0,0,True
ackley,100,simulated_annealing,0.0019731521606445312,36.046183824539185,200001,197968,False
ackley,100,simulated_annealing,0.0019941329956054688,35.33432078361511,200001,194966,False
ackley,100,simulated_annealing,0.0020818710327148438,37.75586700439453,200001,199964,False
ackley,100,simulated_annealing,0.0022993087768554688,38.35219407081604,200001,191345,False
ackley,100,simulated_annealing,0.0023241043090820312,38.63801431655884,200001,194912,False
ackley,200,basinhopping,21.084148406982422,23.87421202659607,217082,22112,False
ackley,200,basinhopping,21.088333129882812,24.324646472930908,235419,10050,False
ackley,200,basinhopping,21.102821350097656,26.15979766845703,225546,55890,False
ackley,200,basinhopping,21.126110076904297,23.93728232383728,206427,201,False
ackley,200,basinhopping,21.271564483642578,25.16550087928772,217908,12663,False
ackley,200,differential_evolution,20.444629669189453,2.1848645210266113,6201,5560,False
ackley,200,differential_evolution,20.59386444091797,2.224013328552246,6201,5855,False
ackley,200,differential_evolution,20.60509490966797,2.762566089630127,6201,3241,False
ackley,200,differential_evolution,20.726150512695312,2.3246350288391113,6201,4100,False
ackley,200,differential_evolution,20.797325134277344,2.086777448654175,6201,5197,False
ackley,200,direct,4.552538871765137,0.22265028953552246,1199,0,False
ackley,200,direct,4.552538871765137,0.22952556610107422,1199,0,False
ackley,200,direct,4.552538871765137,0.23477721214294434,1199,0,False
ackley,200,direct,4.552538871765137,0.36164021492004395,1199,0,False
ackley,200,direct,4.552538871765137,0.36350274085998535,1199,0,False
ackley,200,dual_annealing,0.004012107849121094,801.1276791095734,554972,547858,False
ackley,200,dual_annealing,0.004038810729980469,802.1502459049225,556379,550150,False
ackley,200,dual_annealing,0.004099845886230469,790.6568069458008,553967,550504,False
ackley,200,dual_annealing,0.004145622253417969,802.5559077262878,557384,553910,False
ackley,200,dual_annealing,0.004250526428222656,676.6088123321533,542510,531474,False
ackley,200,gurobi,2.0217092194844923,0.5605189800262451,1,0,
ackley,200,gurobi,2.0217092194844923,0.5630841255187988,1,0,
ackley,200,gurobi,2.0217092194844923,0.5707907676696777,1,0,
ackley,200,gurobi,2.0217092194844923,0.5807399749755859,1,0,
ackley,200,gurobi,2.0217092194844923,0.5815689563751221,1,0,
ackley,200,shgo,inf,600.1722168922424,0,0,True
ackley,200,shgo,inf,600.1723990440369,0,0,True
ackley,200,shgo,inf,600.1735274791718,0,0,True
ackley,200,shgo,inf,600.1740891933441,0,0,True
ackley,200,shgo,inf,600.1755599975586,0,0,True
ackley,200,simulated_annealing,0.0035982131958007812,79.33466053009033,400001,396704,False
ackley,200,simulated_annealing,0.0036993026733398438,84.454674243927,400001,399193,False
ackley,200,simulated_annealing,0.004113197326660156,75.90083193778992,400001,391469,False
ackley,200,simulated_annealing,0.004218101501464844,78.60980701446533,400001,399052,False
ackley,200,simulated_annealing,0.004620552062988281,85.3252866268158,400001,375025,False
biggsbi1,1001,differential_evolution,49.839088439941406,4156.352528810501,257259,256257,True
biggsbi1,1001,differential_evolution,55.04335403442383,3657.7612130641937,226227,200854,True
biggsbi1,1001,differential_evolution,56.5799446105957,4078.7393987178802,271272,202321,True
biggsbi1,1001,differential_evolution,57.680362701416016,4113.417395830154,273276,272274,True
biggsbi1,1001,differential_evolution,61.70566177368164,3850.5321159362793,271272,228888,True
biggsbi1,1001,direct,1.6591999530792236,6.7473320960998535,8001,4001,False
biggsbi1,1001,direct,1.6591999530792236,9.285433530807495,8001,4001,False
biggsbi1,1001,direct,1.6591999530792236,9.315335750579834,8001,4001,False
biggsbi1,1001,direct,1.6591999530792236,10.269088745117188,8001,4001,False
biggsbi1,1001,direct,1.6591999530792236,10.330697774887085,8001,4001,False
biggsbi1,1001,dual_annealing,5.397039890289307,3616.9548761844635,396589,395587,True
biggsbi1,1001,dual_annealing,5.516618251800537,3603.4833614826202,376587,376586,True
biggsbi1,1001,dual_annealing,11.755084037780762,3635.717251777649,315497,315496,True
harkerp,101,basinhopping,-49.99731931940187,3636.991757631302,592207,365635,True
harkerp,101,basinhopping,-49.99231090093963,3836.3156530857086,570369,339164,True
harkerp,101,basinhopping,-49.98974622716196,3606.0058958530426,8500950,6463513,True
harkerp,101,basinhopping,-49.987252057297155,3608.384814977646,8495062,8295344,True
harkerp,101,basinhopping,-49.966749153798446,3678.085231781006,261666,240585,True
harkerp,101,differential_evolution,-0.8919053623333546,1990.4360332489014,1531611,1531595,False
harkerp,101,differential_evolution,-0.8276867673487851,779.8521480560303,1531611,1531608,False
harkerp,101,differential_evolution,-0.7859808220665762,779.9176597595215,1531611,1531520,False
harkerp,101,differential_evolution,-0.7704592142226675,3794.0693697929382,434751,434667,True
harkerp,101,differential_evolution,-0.6673852802096144,3727.851572751999,533226,533225,True
harkerp,101,direct,5266895.776111099,35.615103006362915,86725,86592,False
harkerp,101,direct,5266895.776111099,35.670193910598755,86725,86592,False
harkerp,101,direct,5266895.776111099,36.08090400695801,86725,86592,False
harkerp,101,direct,5266895.776111099,85.86769342422485,86725,86592,False
harkerp,101,direct,5266895.776111099,2439.368201971054,86725,86592,False
harkerp,101,dual_annealing,-0.8653090801393617,99.57153987884521,217199,15367,False
harkerp,101,dual_annealing,-0.7410843409802279,1217.041324853897,217097,15214,False
harkerp,101,dual_annealing,-0.7224104320174154,99.4080638885498,217097,15200,False
harkerp,101,dual_annealing,-0.5615546275926342,135.1149673461914,217097,15298,False
harkerp,101,dual_annealing,-0.5251550281226479,155.00302982330322,217097,15249,False
harkerp,101,shgo,inf,3600.117266893387,0,0,True
harkerp,101,shgo,inf,3600.118168115616,0,0,True
harkerp,101,shgo,inf,3600.1188745498657,0,0,True
harkerp,101,shgo,inf,3600.1297483444214,0,0,True
harkerp,101,shgo,inf,3602.8348953723907,0,0,True
