solver,algorithm,dimension,hidden_size,nn_fname,seed,x,obj_val,time_elapsed,timeout_reached
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,4,"[1.0140067851842605, 0.18272760172140634]",-0.551064133644104,2.7607829570770264,False
scipy,direct,2,16,nn_one_layer_levy_2_16,0,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.310929775238037,False
scipy,direct,2,16,nn_one_layer_levy_2_16,1,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.396376848220825,False
scipy,direct,2,16,nn_one_layer_levy_2_16,2,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.390793800354004,False
scipy,direct,2,16,nn_one_layer_levy_2_16,3,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.365718364715576,False
scipy,direct,2,16,nn_one_layer_levy_2_16,4,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.483335494995117,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,0,"[1.095472748229895, 0.3034510369616328]",-0.551064133644104,10.55406641960144,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,1,"[0.7396806090614518, 0.2649909570645832]",-0.551064133644104,10.687645196914673,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,2,"[1.069728377275169, 0.2011964377678055]",-0.551064133644104,10.629517078399658,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,3,"[0.9383806296046089, 0.21660370379686356]",-0.551064133644104,10.581682443618774,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,4,"[0.8036477165549059, 0.21619485262019822]",-0.551064133644104,10.629087924957275,False
scipy,shgo,2,16,nn_one_layer_levy_2_16,0,"[0.0, 0.0]",0.8156876564025879,2.0522301197052,False
scipy,shgo,2,16,nn_one_layer_levy_2_16,1,"[0.0, 0.0]",0.8156876564025879,2.0641355514526367,False
scipy,shgo,2,16,nn_one_layer_levy_2_16,2,"[0.0, 0.0]",0.8156876564025879,2.027467966079712,False
scipy,shgo,2,16,nn_one_layer_levy_2_16,3,"[0.0, 0.0]",0.8156876564025879,1.9716126918792725,False
scipy,shgo,2,16,nn_one_layer_levy_2_16,4,"[0.0, 0.0]",0.8156876564025879,2.058668851852417,False
scipy,basinhopping,2,16,nn_one_layer_michalewicz_2_16,0,"[2.130588353951788, 5.87264929516026]",-0.9083686470985413,2.915613889694214,False
scipy,basinhopping,2,16,nn_one_layer_michalewicz_2_16,1,"[-2.7143076539952657, -6.45122763817751]",-7.780464172363281,2.613723039627075,False
scipy,basinhopping,2,16,nn_one_layer_michalewicz_2_16,2,"[2.4351594514156942, -10.048839194971304]",-11.625060081481934,2.6380631923675537,False
scipy,basinhopping,2,16,nn_one_layer_michalewicz_2_16,3,"[-3.0577247997755803, -2.8161400963204524]",-3.7472610473632812,2.9877612590789795,False
scipy,basinhopping,2,16,nn_one_layer_michalewicz_2_16,4,"[2.1175510065670853, 7.097223004369315]",-1.0063691139221191,2.8100616931915283,False
scipy,brute,2,16,nn_one_layer_michalewicz_2_16,0,"[2.1150964176242573, 1.5727535095473355]",-1.663313388824463,2.5793802738189697,False
scipy,brute,2,16,nn_one_layer_michalewicz_2_16,1,"[2.1150964176242573, 1.5727535095473355]",-1.663313388824463,2.6129260063171387,False
scipy,brute,2,16,nn_one_layer_michalewicz_2_16,2,"[2.1150964176242573, 1.5727535095473355]",-1.663313388824463,2.595792055130005,False
scipy,brute,2,16,nn_one_layer_michalewicz_2_16,3,"[2.1150964176242573, 1.5727535095473355]",-1.663313388824463,2.786837339401245,False
scipy,brute,2,16,nn_one_layer_michalewicz_2_16,4,"[2.1150964176242573, 1.5727535095473355]",-1.663313388824463,2.7777161598205566,False
scipy,differential_evolution,2,16,nn_one_layer_michalewicz_2_16,0,"[2.115316429598514, 1.572183974237333]",-1.6623725891113281,2.860738754272461,False
scipy,differential_evolution,2,16,nn_one_layer_michalewicz_2_16,1,"[2.11392767243744, 1.5720599981104997]",-1.659729242324829,2.7407541275024414,False
scipy,differential_evolution,2,16,nn_one_layer_michalewicz_2_16,2,"[2.1156950396185747, 1.5729533647376253]",-1.6625523567199707,2.9191391468048096,False
scipy,differential_evolution,2,16,nn_one_layer_michalewicz_2_16,3,"[2.1171582352504017, 1.5712319710934557]",-1.659520149230957,2.821477174758911,False
scipy,differential_evolution,2,16,nn_one_layer_michalewicz_2_16,4,"[2.1203112814940823, 1.5759432594920768]",-1.6541597843170166,2.744076728820801,False
scipy,direct,2,16,nn_one_layer_michalewicz_2_16,0,"[2.115099993941266, 1.5727648432504306]",-1.663329839706421,5.403587579727173,False
scipy,direct,2,16,nn_one_layer_michalewicz_2_16,1,"[2.115099993941266, 1.5727648432504306]",-1.663329839706421,5.364601373672485,False
scipy,direct,2,16,nn_one_layer_michalewicz_2_16,2,"[2.115099993941266, 1.5727648432504306]",-1.663329839706421,5.449790000915527,False
scipy,direct,2,16,nn_one_layer_michalewicz_2_16,3,"[2.115099993941266, 1.5727648432504306]",-1.663329839706421,5.481670141220093,False
scipy,direct,2,16,nn_one_layer_michalewicz_2_16,4,"[2.115099993941266, 1.5727648432504306]",-1.663329839706421,5.543658256530762,False
scipy,dual_annealing,2,16,nn_one_layer_michalewicz_2_16,0,"[2.1150960281724975, 1.5727848516919938]",-1.6633129119873047,12.162941694259644,False
scipy,dual_annealing,2,16,nn_one_layer_michalewicz_2_16,1,"[2.11516400544253, 1.572754106513341]",-1.6632609367370605,12.253846883773804,False
scipy,dual_annealing,2,16,nn_one_layer_michalewicz_2_16,2,"[2.115153743210593, 1.572757192850652]",-1.6632742881774902,12.266315698623657,False
scipy,dual_annealing,2,16,nn_one_layer_michalewicz_2_16,3,"[2.1152332831635583, 1.5726727322985816]",-1.663093090057373,11.692758083343506,False
scipy,dual_annealing,2,16,nn_one_layer_michalewicz_2_16,4,"[2.115104774570325, 1.5728200582053233]",-1.6632585525512695,11.866318464279175,False
scipy,shgo,2,16,nn_one_layer_michalewicz_2_16,0,"[1.5707963267948966, 1.5707963267948966]",-1.0221073627471924,2.090238332748413,False
scipy,shgo,2,16,nn_one_layer_michalewicz_2_16,1,"[1.5707963267948966, 1.5707963267948966]",-1.0221073627471924,2.035663604736328,False
scipy,shgo,2,16,nn_one_layer_michalewicz_2_16,2,"[1.5707963267948966, 1.5707963267948966]",-1.0221073627471924,2.0936880111694336,False
scipy,shgo,2,16,nn_one_layer_michalewicz_2_16,3,"[1.5707963267948966, 1.5707963267948966]",-1.0221073627471924,2.0141568183898926,False
scipy,shgo,2,16,nn_one_layer_michalewicz_2_16,4,"[1.5707963267948966, 1.5707963267948966]",-1.0221073627471924,1.9982550144195557,False
scipy,basinhopping,10,16,nn_one_layer_ackley_10_16,0,"[1.865603744568333, 11.40968217307038, 11.124639235090177, -1.2893188533418458, -6.705877737904326, 5.772762288630214, -6.270497131015196, 27.392011121923094, 28.642090228991947, -1.6621851699108499]",20.460372924804688,4.134088516235352,False
scipy,basinhopping,10,16,nn_one_layer_ackley_10_16,1,"[-3.909731661762771, 13.089098667718789, -32.442941394913205, -10.888424295750054, -21.277365829547666, -24.437687523502824, -21.94363714890672, -8.846222743656948, -4.9700142303222785, 1.6018901658771956]",20.85211944580078,4.133995294570923,False
scipy,basinhopping,10,16,nn_one_layer_ackley_10_16,2,"[-4.995189854081302, -31.310013176537886, 1.8996192129011764, -5.50743431996435, -4.4387877527775865, -10.504912338389957, -18.537085587605564, 7.283111878974581, -13.10028263357765, -15.388975210090772]",20.681617736816406,4.123571395874023,False
scipy,basinhopping,10,16,nn_one_layer_ackley_10_16,3,"[3.0039617510231404, 16.262055700104526, -11.406539955118527, 3.622017082689373, 21.61211372977358, 25.992082246139496, -22.43905993052896, -21.53387395369577, -23.669520544879607, -6.5456681630270275]",21.101512908935547,4.1151063442230225,False
scipy,basinhopping,10,16,nn_one_layer_ackley_10_16,4,"[34.777974930459095, 3.381316259808643, 32.449725879947096, 13.637182442983708, 8.871494161906206, -18.006546278519625, 30.017202952049125, -33.42810300583415, -14.030406609325503, -3.040181942223173]",21.53226089477539,4.105599641799927,False
scipy,differential_evolution,10,16,nn_one_layer_ackley_10_16,0,"[7.355835235463521, -2.7860667074841112, 0.5098302625203578, 0.007661002771274071, -3.3242099626506496, -3.9294133641237603, 2.9715811667864838, 2.5462492110583845, -12.763035654148775, 1.0139764664143731]",19.76010513305664,4.516781806945801,False
scipy,differential_evolution,10,16,nn_one_layer_ackley_10_16,1,"[0.024763048403976428, 0.33314531340760734, -1.1246635460776198, 9.586737380650353, -0.14382920225057752, 7.770766223205996, -4.0209615349815, -0.9915810853375734, 1.1013963580103445, -2.403537388719022]",19.700565338134766,4.227212429046631,False
scipy,differential_evolution,10,16,nn_one_layer_ackley_10_16,2,"[13.114432495380433, -6.5653286550470655, 3.520604661543992, 4.195914340267423, 18.494422926738466, -5.881567589067862, 3.8297494566512325, -6.606155154437744, 0.6437768655030596, -3.0935675494454338]",20.0797119140625,3.644547700881958,False
scipy,differential_evolution,10,16,nn_one_layer_ackley_10_16,3,"[8.416485449805537, -2.969049661026991, -3.921398018754473, 1.2546912736418163, 5.494542110935261, -10.605196796378227, -1.9187453251479711, 5.914312856202072, -4.528902240222942, -3.4998455959926904]",19.89783477783203,4.028560161590576,False
scipy,differential_evolution,10,16,nn_one_layer_ackley_10_16,4,"[12.632687305923247, 6.982474630928889, -0.46644493509893076, -1.7703387363242837, 9.20122861788224, -2.2791756485127954, -2.0138320587704768, 6.370721321816462, 9.85500187842788, -6.6350156783148995]",19.96428871154785,3.693434238433838,False
scipy,direct,10,16,nn_one_layer_ackley_10_16,0,"[0.0, 0.0, 0.0, -0.8090864197530863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.37570571899414,2.206660270690918,False
scipy,direct,10,16,nn_one_layer_ackley_10_16,1,"[0.0, 0.0, 0.0, -0.8090864197530863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.37570571899414,2.251431465148926,False
scipy,direct,10,16,nn_one_layer_ackley_10_16,2,"[0.0, 0.0, 0.0, -0.8090864197530863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.37570571899414,2.233353614807129,False
scipy,direct,10,16,nn_one_layer_ackley_10_16,3,"[0.0, 0.0, 0.0, -0.8090864197530863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.37570571899414,2.2537810802459717,False
scipy,direct,10,16,nn_one_layer_ackley_10_16,4,"[0.0, 0.0, 0.0, -0.8090864197530863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.37570571899414,2.275484800338745,False
scipy,dual_annealing,10,16,nn_one_layer_ackley_10_16,0,"[-0.3486076734523067, 0.1874181735430227, 0.22157764208327535, -0.3394634727763304, -0.2195348360095437, -0.22691253241671916, 0.33476728456003, -0.07139141692630346, 0.26238460205064484, 0.10113914121342304]",19.355119705200195,47.01930284500122,False
scipy,dual_annealing,10,16,nn_one_layer_ackley_10_16,1,"[-0.3381491680876252, 0.18790580661452339, 0.21452385522314898, -0.32495577985378077, -0.019221547475339662, -0.24076163193487332, 0.3379907271050797, -0.07229452984199725, 0.27634054876160974, 0.08507996615941238]",19.355220794677734,47.39726114273071,False
scipy,dual_annealing,10,16,nn_one_layer_ackley_10_16,2,"[-0.3509766131255958, 0.18751098314456272, 0.22467450330898942, -0.35392055995941973, -0.32353863647568915, -0.20338504087817455, 0.34231951936487803, -0.06929009066774938, 0.2539373631440469, 0.12793495676314137]",19.355127334594727,48.88251042366028,False
scipy,dual_annealing,10,16,nn_one_layer_ackley_10_16,3,"[-0.34315522940597987, 0.18818449733595344, 0.21841085343220357, -0.3144447235336685, -0.053495705477388356, -0.21955255981845312, 0.32740963237709764, -0.0737257265153346, 0.27254107124130655, 0.08022611864427631]",19.355154037475586,47.33790731430054,False
scipy,dual_annealing,10,16,nn_one_layer_ackley_10_16,4,"[-0.36357694385262107, 0.1885400138119877, 0.22484492773114084, -0.3465471081709808, -0.4891528647864618, -0.1986217199297471, 0.3344283301712778, -0.06402081362747936, 0.24138955055198608, 0.1405056186579685]",19.355060577392578,47.50585889816284,False
scipy,shgo,10,16,nn_one_layer_ackley_10_16,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.376041412353516,150.20365977287292,False
scipy,shgo,10,16,nn_one_layer_ackley_10_16,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.376041412353516,149.09149718284607,False
scipy,shgo,10,16,nn_one_layer_ackley_10_16,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.376041412353516,150.33010387420654,False
scipy,shgo,10,16,nn_one_layer_ackley_10_16,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.376041412353516,150.7418236732483,False
scipy,shgo,10,16,nn_one_layer_ackley_10_16,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.376041412353516,151.23393297195435,False
scipy,basinhopping,10,16,nn_one_layer_levy_10_16,0,"[0.7536878098621673, 1.739628586415269, 3.1593824261535555, -1.3893229349490184, 1.8706875854158684, 1.376000121359696, 1.5812891956566026, 2.320532593193615, 2.1406043378923654, -0.2156014408598944]",-26.723833084106445,3.9608218669891357,False
scipy,basinhopping,10,16,nn_one_layer_levy_10_16,1,"[3.292585471591831, 4.047996972519868, -3.020204306570867, -0.8448608731894172, -0.8588370339324994, -0.12226153170554321, -6.647314695896994, -1.1118153956565404, 1.3273193425137937, -0.7638408179029267]",17.01551055908203,4.057437896728516,False
scipy,basinhopping,10,16,nn_one_layer_levy_10_16,2,"[1.4058190976586764, -3.2547471483334074, 2.018712723762504, 1.3651339441550983, 0.7696647011901037, 1.1715273736105503, -4.357348374906006, 2.2066428070385173, -1.969073674669257, -1.9030474651901224]",-7.167110443115234,5.609571218490601,False
scipy,basinhopping,10,16,nn_one_layer_levy_10_16,3,"[0.32381356351879964, 4.803044389956016, -0.41914736596980384, 2.1837310765114375, 1.3473254692235228, 1.554346660884345, -1.3917004838615066, -3.4930942150193642, -0.33550076032478626, -1.8058137277976358]",-4.456499099731445,4.887183904647827,False
scipy,basinhopping,10,16,nn_one_layer_levy_10_16,4,"[5.065066288390133, -0.9881800990202099, 4.487288337860605, 1.97356280659324, 1.5909830283108608, -1.2678316099352924, 5.597313275526873, -8.828435922795748, 0.8014375229362642, -0.7679334512693845]",43.1275749206543,3.8635098934173584,False
scipy,differential_evolution,10,16,nn_one_layer_levy_10_16,0,"[3.015352518347898, 3.3126323559336757, 0.7909869293579264, 1.212240490486567, -0.8743448560938183, 1.9174442061644537, 2.1272420416655513, 0.6053608546187195, 1.948122236349632, 0.7259255239137441]",-30.522525787353516,14.63676929473877,False
scipy,differential_evolution,10,16,nn_one_layer_levy_10_16,1,"[4.14754227859504, -1.292168473254226, 0.0918970893256632, 1.1964551181594318, 1.9454113743313517, 1.4856263938275682, 2.3594251214893225, -1.2562495964727505, 1.0084927405939625, 1.1601804393594017]",-30.522525787353516,12.731686353683472,False
scipy,differential_evolution,10,16,nn_one_layer_levy_10_16,2,"[-0.11173428374166572, 0.16267819898942104, 1.3650499147634743, 0.32415649944525615, 2.0098358308130915, 2.5026223813473547, 2.4589103336791696, -0.27115123065859614, 1.71213334090077, 0.3931954709190477]",-30.522525787353516,14.271451711654663,False
scipy,differential_evolution,10,16,nn_one_layer_levy_10_16,3,"[2.268713461829399, 3.919706141511079, -0.3741652222404013, 1.9428174094239004, 1.5872719793190404, 1.5108341260388691, 1.842865179551989, 1.8219508008364405, 0.16465893504885365, 0.39694355374697565]",-30.522525787353516,12.049700498580933,False
scipy,differential_evolution,10,16,nn_one_layer_levy_10_16,4,"[1.20687707370714, 3.1510578354366015, 1.659993842274221, 1.462161863937086, 2.1193299488578843, 1.3613954399686068, 2.207731820972798, -1.3555038458866786, 0.556471855310241, 0.44750107023231234]",-30.522525787353516,13.420279502868652,False
scipy,direct,10,16,nn_one_layer_levy_10_16,0,"[0.0, 0.0, 2.222222222222223, 2.222222222222223, 0.0, 2.222222222222223, 2.222222222222223, 2.222222222222223, 2.222222222222223, 0.0]",-30.522525787353516,20.58142614364624,False
scipy,direct,10,16,nn_one_layer_levy_10_16,1,"[0.0, 0.0, 2.222222222222223, 2.222222222222223, 0.0, 2.222222222222223, 2.222222222222223, 2.222222222222223, 2.222222222222223, 0.0]",-30.522525787353516,20.63323664665222,False
