dimension,function,solver,algorithm,obj_mean,obj_min,obj_max,time_mean,time_min,time_max,num_seeds,num_timeout
10,Ackley,gurobi,gurobi,1.0426446649807382,1.0426446649807382,1.0426446649807382,0.04190263748168945,0.013975143432617188,0.07141709327697754,5,0
10,Ackley,scipy,basinhopping,20.35081787109375,19.594139099121094,20.88107681274414,2.8637638092041016,2.354912281036377,3.2416481971740723,5,0
10,Ackley,scipy,differential_evolution,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,35.7621835231781,20.978366136550903,43.80222725868225,5,0
10,Ackley,scipy,direct,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,2.0371055126190187,1.8723413944244385,2.143688440322876,5,0
10,Ackley,scipy,dual_annealing,0.00042400360107421877,0.00027751922607421875,0.0006971359252929688,19.56839485168457,14.712696552276611,32.81620669364929,5,0
10,Ackley,scipy,shgo,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,139.64776639938356,118.60596752166748,165.37112307548523,5,0
10,Levy,gurobi,gurobi,-2.5011267881651467e-06,-2.5011267881651467e-06,-2.5011267881651467e-06,1.4442010402679444,1.3543779850006104,1.6246280670166016,5,0
10,Levy,scipy,basinhopping,22.413826847076415,7.97512674331665,34.31706619262695,4.13899941444397,3.700005531311035,4.351143836975098,5,0
10,Levy,scipy,differential_evolution,7.684822288071825e-15,7.66532037090083e-15,7.713235330661112e-15,51.50860466957092,48.664711475372314,54.141780376434326,5,0
10,Levy,scipy,direct,0.13359348475933075,0.13359348475933075,0.13359348475933075,2.6930213451385496,2.5828707218170166,2.814983606338501,5,0
10,Levy,scipy,dual_annealing,7.287957095453156e-11,8.981958406206747e-12,1.599512466921027e-10,41.47891750335693,36.6948184967041,44.86740493774414,5,0
10,Levy,scipy,shgo,1.442601203918457,1.442601203918457,1.442601203918457,298.48663396835326,291.7611153125763,300.20504331588745,5,4
10,Michalewicz,gurobi,gurobi,-9.77279260995416,-9.77279260995416,-9.77279260995416,0.528160810470581,0.5044999122619629,0.555305004119873,5,0
10,Michalewicz,scipy,basinhopping,-2.7329046726226807,-3.4387099742889404,-2.25285005569458,3.018806505203247,2.558018445968628,3.3462164402008057,5,0
