function,solver,algorithm,dimension,seed,x,obj_val,time_elapsed,timeout_reached
Levy,gurobi,gurobi,100,0,"[1.0000038162216711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 1.0, 1.0000007199694023]",-4.562943857307485e-07,11.85834813117981,False
Levy,gurobi,gurobi,100,1,"[1.0000038162216711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 1.0, 1.0000007199694023]",-4.562943857307485e-07,12.292552947998047,False
Levy,gurobi,gurobi,100,2,"[1.0000038162216711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 1.0, 1.0000007199694023]",-4.562943857307485e-07,12.160086154937744,False
Levy,gurobi,gurobi,100,3,"[1.0000038162216711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 1.0, 1.0000007199694023]",-4.562943857307485e-07,11.792055130004883,False
Levy,gurobi,gurobi,100,4,"[1.0000038162216711, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 0.9978088261723479, 1.0, 1.0000007199694023]",-4.562943857307485e-07,11.473904132843018,False
Levy,scipy,basinhopping,100,0,"[1.4780111553010977, 2.6696683769737475, 1.801525487496223, -0.5684940056232335, -3.544259680809482, 0.46409443002047934, -1.3312658078504762, 7.797512803420486, 7.305424069399021, -4.038576272218001, 4.513632724123813, -0.4941732050898247, 2.3506415873144784, 6.20942684517736, -7.493523332554449, -8.027821520912411, -7.384450101799705, 9.658066127384178, 6.173035368402804, 8.162865075296686, 10.048571064633812, 5.021206703454425, -0.4654827634531428, 8.48152463359615, -9.11331325829021, 2.3230623026563495, -9.690796359686965, 8.797551408243736, 1.2679375687495837, -2.0111118285669987, -7.242552338336181, 3.421143974564545, -2.9763370896809813, 1.1776997372150473, -10.613404297880066, 5.074129994638012, 0.9162262460868346, 3.3090026551191447, 9.483126050436265, 1.3011139715987037, -2.162234541185024, -2.4561580385320436, 4.402955439658358, -9.249332369600863, 4.179180994856933, 3.5088307305113737, -5.706592881484303, -9.96199495135116, -4.770141906183565, -1.6540283473170012, 0.9902812120849834, -1.2329781258100114, 7.95629953969252, -7.618221955003832, -7.050188986086874, -5.636772264096122, 2.9073228477578885, -5.111190698609186, -1.6829376507610372, -5.27232812161432, -8.379528797012998, -7.038374857772347, 4.232874298088294, -5.721537795730845, -4.397793449473803, -0.09219467857671015, 5.954580423129961, -8.690551546938263, 7.790700883753565, -6.978719141045546, 10.165197496721433, -0.43265977458485455, 8.050176994523142, 0.08706205692305613, 6.321499602781442, -9.078509670380535, -4.063353776305408, -7.238340272064672, -1.845054566060927, -8.618205239542288, -3.6212965862126176, -1.6276017645902727, -10.091062177428903, 2.9448897542209735, -0.19827052608438228, -3.464059582821165, 2.7313848580062743, -8.991086302356763, 3.2774187823748817, 9.739536710699678, -5.539820166028592, 2.8783835428189444, -7.9352061308907516, 4.816799483870069, -5.59857056616841, -5.499884624132865, -0.2883540872878611, -11.186190554760541, 6.332499314377014, -10.697806205093299]",63366.6484375,12.977481365203857,False
Levy,scipy,basinhopping,100,1,"[-0.8429698611808254, 4.308468889492457, -10.803389320695661, -5.613742615210793, -7.201495605621276, -9.321755028502814, -6.448772842911137, -4.066265253790997, -1.98214375427085, 1.741504206195616, -2.1956413879877297, 3.35385269209624, -6.1949793623470955, 6.878973099078772, -10.114865849319253, 3.5464618858420813, -1.0041215185266732, 1.7062207755939585, -5.871336740006593, -5.022786106300407, 4.666973511573863, 6.590832878449562, -4.4106460382151855, 1.5087646967064587, 8.089731179182312, 8.568711513357135, -7.263025252701181, -9.799196407745065, -6.456414441759818, 7.497712005569051, -8.04672233818434, 0.14165248486316773, 9.997809925297702, -1.0553749107010924, 3.27577039730363, -1.4938431336261617, 4.401988660614169, 8.071084597318901, -9.961515641295604, 6.219023829180109, 9.044664156197625, 3.6440851039809, -3.9911165025635915, 6.03249672414287, -8.004282023802135, -2.27064973736439, 6.905896385699938, -5.93962211280554, -4.3562175889636325, -7.306393358308805, -10.684814849607879, 2.8004905087376013, -4.97765128058256, -4.245273750877761, 0.5862087343365692, -8.525737886836076, 0.07831598649852417, -6.852010774676838, 4.394792422823196, 3.7957710436675995, -7.222252277730784, -2.5086018406404897, 2.768592995875487, -0.9584483404689326, -7.635914555286484, 0.11180626702496849, 1.850930021907736, 0.060195794962014715, 7.682653697496935, 0.008334138185624063, 7.530172291151472, -5.683292550563478, -7.927422757857272, 5.294993987500774, -2.0760377176650926, -8.81211065405198, 7.673140023561941, -2.306887893906291, 6.087141489768627, 1.70111835128851, 9.111552152128999, 5.251303595610557, 6.168850847504529, -5.011178995563565, -3.711398024218022, 8.04658100611261, -2.808205270978955, 10.866614408379741, 3.833256504321133, 4.720489274721357, -10.32428183122843, 8.109418034529742, -0.023615817907471887, 1.137781782298118, -1.8353251041063097, -5.43088770166497, 7.993455913247558, 1.5195221916388548, -10.539868188089203, 2.208410443236342]",67288.8359375,12.18493938446045,False
Levy,scipy,basinhopping,100,2,"[-1.8444784594659875, -8.51480716132838, 0.8687344440473321, 0.09809793196736658, -1.0401419351606416, -3.1346088802796155, -5.734548055040098, 3.7921913317636307, -4.23995794798905, -6.237994405405986, 0.46851342529446, 1.7788243533813797, -7.557831270730354, -0.09109802998850292, -4.712841407962147, 7.784354689297503, 7.845991513012694, -0.29896404383960795, 4.97359519432823, -6.9974697684955895, 1.6391941299058037, -8.694705364825655, -1.954852616913089, -7.668121130350205, -10.278688031513767, 2.4814950978577697, -5.9736645335417675, -6.519988120401943, -5.403015870894758, -2.132884885471939, -0.5136172910025629, -6.003811143993614, 0.3651267507178541, 0.5913339051819562, -1.8358114779515555, 2.526807633423639, 3.441716256756538, 0.802792060433517, -6.653807678799628, 2.9795016146863214, 9.974814565346225, -0.5380602355662307, 9.168460136009877, -4.467305255740312, -0.12204226507783034, -0.9298398404711423, -2.5872002049594593, 3.6208249051236905, -2.7539360987359784, 6.630676398849012, 2.16196113465426, -8.79786128713442, -3.9634422896035164, 9.06097935944493, -2.1702933554442194, -12.288774474568061, -4.818879901205822, -7.214357215455545, 10.587627816085561, 11.706006618957964, 3.4352573694526636, 0.9003710575998466, 5.667281648306766, -7.545488338960123, -3.8072573218368375, 0.48619336555810444, -2.6687107043956577, -9.317972558800292, 10.422954891221258, -2.521252390331705, 2.1743431313265176, -1.2738197798111477, -3.518087335579794, -3.260715607899504, 4.950926012415786, 3.3600503334149625, 0.07590119272825352, -9.779261045271554, 6.143599827689241, -5.363913314582706, 3.486882179088207, -8.338965461275073, 4.395129732458466, -0.7627042331945592, -0.2287356408585779, -3.521419532897515, -1.9117520199968874, 3.1091489486584836, 7.942993731994429, -7.068389930271894, -1.712273371918342, -8.398845848508776, 4.13871133296076, 2.1110288106318107, -5.548175089006483, -1.395086349369715, 3.8462926877258568, 0.47333614344218916, -5.803164482147596, 6.075306972731166]",67500.75,11.434943914413452,False
Levy,scipy,basinhopping,100,3,"[-0.2007073941437147, 3.975170076003068, -6.845439404124744, -0.30080628427663164, 7.397049654220317, 7.441856479560286, -9.04987836645009, -3.25753116258198, -6.711438945571786, -0.7780675402523837, -9.562961809533954, -0.5538311452279381, 4.566993255775467, -5.671216810332924, 2.8337491195602524, 2.4187585869561277, -9.423758240884643, 0.03375751064714699, -5.056709312925756, -2.4378960818171347, -4.0293106482479, 3.5618496690856727, -2.5786779143482534, -6.115376546924161, 2.2193694723239425, 4.257429859562173, -6.110222860679907, -6.461061561547335, -3.1712748876385812, 9.399145061747399, 9.194877174077822, 3.0910769195844705, 8.651227771370028, 7.843878084429098, -2.6487653768679342, -7.6918536468856855, 3.6367794784425307, 1.3068254024125947, -2.3844778168552487, -5.173265624026093, -0.6859769510528846, -0.6918029041794309, -3.9476467250903173, -5.2516112460194995, -0.09679971695299933, 6.418630593440099, 1.6955671620875852, -4.963433749356858, -3.8890018465789598, -0.14698278600469078, -6.099884473853585, -4.888863910589687, 0.8423273932942533, -10.681750544081064, -1.4189874459561684, -0.5338985757496957, 6.171363061455223, 5.732478410689558, 6.7285300846164215, 3.429056425326172, -3.59362986051747, 5.294670664273879, -1.9633723087541952, 0.4229491421016383, -3.9929227925006496, 1.0500421089976992, -6.78239340880338, -4.3951025158585635, 8.52026841705176, -3.5000066948077273, 3.19097418832638, 3.8532671754473666, 3.6032330174513283, 0.6228028663113607, 4.6133809268239805, -9.40271618248363, -8.197296771623837, -7.3413398205987495, -6.204831395896245, -9.544032292443212, -4.2428964453607945, 0.6766945647358832, -6.030961942839844, 10.045045936948956, 5.462377817189539, 0.5531620447723322, 2.39425566925488, -5.165612294873638, 8.400113172235663, 5.581386123110185, 5.624540315360912, -1.6308302349787414, 7.770619000449108, 4.87541199884049, 2.4153274708266013, 7.913414359624525, 3.973240375606439, -3.543208727542039, 1.9008198279738804, -3.138998204532184]",62133.43359375,13.984548807144165,False
Levy,scipy,basinhopping,100,4,"[9.589958596449899, 3.1091506556874724, 10.621301790568594, 4.18276984179776, 5.409312415962257, -4.77512375024896, 8.086871500858818, -9.76547257824245, -4.356104494075545, -3.3351113734329165, 7.063570600133906, -6.180500093248533, 8.471768418915596, 10.117554486393248, -5.158110158631915, 1.8951639886428164, -8.88087603405722, -2.3540076270963475, -9.71335029490294, 9.96909195887378, -2.6488425658601766, 9.287210185866781, 4.704935931340314, 7.649548641186163, -5.589224237372146, -7.828078392442355, 2.7174071339426304, -7.770653053100149, 5.376372951472992, -4.384535970993266, 0.4226023626791274, 8.992052896158775, 0.11559121148075335, -6.671217479111052, -7.147593718759278, 1.287068260260186, 1.4764565814714818, 4.97897109979602, -1.6894546560179036, 3.2419481925548745, -0.9318062919019178, 2.101690340686037, 6.669613308010541, -4.573189198125477, -3.3072878714253395, 1.7332363829430246, 1.8865120083522906, -5.034308818226821, -0.2784216280971952, 2.5191213900063687, 7.029247108659667, -5.196387252490575, 2.395332837720675, -7.784860304712189, -1.533097434755939, -6.680467959025684, 8.292670073831575, -1.6393623170795202, 4.238888131084909, -2.250784312217006, 7.7582040305275, -2.0896951920609683, -2.825587240479494, 3.7732018788572708, 8.013373363200369, 7.588798765234267, 2.7598710299099793, -8.462191606050956, 4.0600596317122495, -3.427346369577175, 4.878157589544138, 6.872244015024049, 0.09869392858302162, 3.56129256508316, -10.17621466023992, -0.2394332790286351, -7.657067539565411, 0.6375431617235987, -1.840147637039222, 6.857985986941628, -7.646256276093136, -7.18947770273112, 5.360264816111451, -1.3251843848998917, 3.6005245827312384, 5.51861849089636, -0.7110247532055631, 7.254827341228777, 0.23583168181549666, 9.328791008880243, 4.5093625913637805, -5.431391115442364, -4.130220819921441, 9.604021096083489, -2.038681743542324, -4.754145005466555, 0.7148479688106101, -3.0821749349810315, 2.2918446696222716, -1.8502760208247384]",70076.671875,16.769771099090576,False
