function,solver,algorithm,dimension,seed,x,obj_val,time_elapsed,timeout_reached
Ackley,scipy,dual_annealing,10,3,"[-1.0086183650059866e-05, 0.00013132337666377225, 4.815767175614383e-05, 0.00013175169527812614, 8.859403462224691e-05, -7.55880842859824e-05, -8.379139525516166e-05, -9.318745355813007e-06, -8.20415241378214e-05, 2.9113087165910656e-05]",0.00032329559326171875,15.398688554763794,False
Ackley,scipy,dual_annealing,10,4,"[0.00019385653854442353, 9.807219848312343e-05, -5.3040455043174006e-05, 0.0002442516264693495, -0.0002144185123427178, -0.00025391502114757714, -0.0002177270931156272, -6.551574767854618e-05, 0.00014227839193381442, -0.0001053764766822951]",0.0006971359252929688,17.079754114151,False
Ackley,scipy,shgo,10,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.5367431640625e-07,145.30294585227966,False
Ackley,scipy,shgo,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.5367431640625e-07,165.37112307548523,False
Ackley,scipy,shgo,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.5367431640625e-07,121.11041831970215,False
Ackley,scipy,shgo,10,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.5367431640625e-07,147.8483772277832,False
Ackley,scipy,shgo,10,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.5367431640625e-07,118.60596752166748,False
Levy,gurobi,gurobi,10,0,"[0.999999999999853, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 0.9999999999999978, 1.0010131025647562, 0.9999999999999978, 0.9999999999999978, 0.9999999501213823]",-2.5011267881651467e-06,1.3543779850006104,False
Levy,gurobi,gurobi,10,1,"[0.999999999999853, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 0.9999999999999978, 1.0010131025647562, 0.9999999999999978, 0.9999999999999978, 0.9999999501213823]",-2.5011267881651467e-06,1.3873012065887451,False
Levy,gurobi,gurobi,10,2,"[0.999999999999853, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 0.9999999999999978, 1.0010131025647562, 0.9999999999999978, 0.9999999999999978, 0.9999999501213823]",-2.5011267881651467e-06,1.434417963027954,False
Levy,gurobi,gurobi,10,3,"[0.999999999999853, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 0.9999999999999978, 1.0010131025647562, 0.9999999999999978, 0.9999999999999978, 0.9999999501213823]",-2.5011267881651467e-06,1.4202799797058105,False
Levy,gurobi,gurobi,10,4,"[0.999999999999853, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 1.0010131025647562, 0.9999999999999978, 1.0010131025647562, 0.9999999999999978, 0.9999999999999978, 0.9999999501213823]",-2.5011267881651467e-06,1.6246280670166016,False
Levy,scipy,basinhopping,10,0,"[1.1594239348715147, 3.4801380878238883, 4.039802945788319, -0.1060101402991831, 0.7583384484767537, 0.1006865292435129, -0.29817066949792453, 7.8624677173291015, 7.771763446285485, 0.6588072386050247]",7.97512674331665,4.323300361633301,False
Levy,scipy,basinhopping,10,1,"[-0.6928268163169512, 2.4906063664985836, -12.211483000702561, -1.2313275785782947, -8.187765147137608, -8.163470712502459, -4.29477999268553, -4.135765194985778, -1.470488969129155, 2.2138342204990336]",33.11670684814453,3.700005531311035,False
Levy,scipy,basinhopping,10,2,"[1.872548871061793, -8.273352889308699, -0.021540159028811068, -0.1682336003124713, 0.9715152032009169, 0.012225517525992546, -4.1957708201724095, 1.2229803215783677, -4.2340007919834735, -5.013337768463782]",12.334098815917969,4.1045238971710205,False
Levy,scipy,basinhopping,10,3,"[-0.20852869929911372, 2.8240747885176933, -4.047556902314726, -0.6815861004163084, 7.864055464265095, 7.878992434504444, -8.21838011762651, -4.092947204190784, -8.319765975556782, -1.4402601385590192]",24.326135635375977,4.2160234451293945,False
Levy,scipy,basinhopping,10,4,"[11.655302159690237, 0.7719923589034408, 7.803979541016217, 2.578358365580412, 2.9179931970164303, -3.8103671841774327, 11.913285727199394, -8.262778369735777, -4.548217157116421, -1.502132319890486]",34.31706619262695,4.351143836975098,False
Levy,scipy,differential_evolution,10,0,"[1.0000000031369694, 1.0000000056012626, 1.000000002959669, 0.9999999938281534, 1.0000000010099819, 1.000000001976682, 1.0000000008822751, 1.000000003928001, 1.0000000040700452, 0.9999999894348766]",7.713235330661112e-15,52.54808259010315,False
Levy,scipy,differential_evolution,10,1,"[0.9999999998339026, 0.9999999953601635, 0.9999999963348416, 1.000000000984782, 0.9999999983165253, 0.9999999979847729, 1.0000000019180266, 0.9999999958928485, 1.0000000013185395, 0.9999999936472603]",7.6781630844471e-15,48.664711475372314,False
Levy,scipy,differential_evolution,10,2,"[0.9999999990466057, 0.9999999950775318, 0.9999999994049569, 1.0000000023783362, 0.9999999997973896, 1.0000000026005362, 0.9999999983839691, 1.0000000019888522, 0.9999999984254004, 0.9999999951976535]",7.667920762048901e-15,54.141780376434326,False
Levy,scipy,differential_evolution,10,3,"[0.9999999999065601, 1.0000000009123844, 0.9999999976317175, 1.0000000024272482, 1.000000004404693, 1.0000000024378664, 0.9999999985109587, 0.999999999591048, 1.0000000001869602, 1.000000006096664]",7.66532037090083e-15,51.43691968917847,False
